"start","end","type"
"1000110","1000111","AST"
"1000110","1000273","AST"
"1000111","1000112","AST"
"1000111","1000113","AST"
"1000111","1000114","AST"
"1000111","1000117","AST"
"1000111","1000120","AST"
"1000111","1000264","AST"
"1000114","1000115","AST"
"1000114","1000116","AST"
"1000117","1000118","AST"
"1000117","1000119","AST"
"1000120","1000121","AST"
"1000120","1000122","AST"
"1000120","1000123","AST"
"1000120","1000126","AST"
"1000120","1000127","AST"
"1000120","1000130","AST"
"1000120","1000131","AST"
"1000120","1000134","AST"
"1000120","1000135","AST"
"1000120","1000136","AST"
"1000120","1000246","AST"
"1000120","1000253","AST"
"1000120","1000260","AST"
"1000123","1000124","AST"
"1000123","1000125","AST"
"1000127","1000128","AST"
"1000127","1000129","AST"
"1000131","1000132","AST"
"1000131","1000133","AST"
"1000136","1000137","AST"
"1000136","1000245","AST"
"1000137","1000138","AST"
"1000137","1000149","AST"
"1000137","1000152","AST"
"1000137","1000158","AST"
"1000137","1000164","AST"
"1000137","1000170","AST"
"1000137","1000175","AST"
"1000137","1000182","AST"
"1000137","1000188","AST"
"1000137","1000201","AST"
"1000137","1000209","AST"
"1000137","1000215","AST"
"1000137","1000221","AST"
"1000137","1000230","AST"
"1000137","1000240","AST"
"1000138","1000139","AST"
"1000138","1000147","AST"
"1000139","1000140","AST"
"1000139","1000146","AST"
"1000140","1000141","AST"
"1000140","1000144","AST"
"1000141","1000142","AST"
"1000141","1000143","AST"
"1000144","1000145","AST"
"1000147","1000148","AST"
"1000149","1000150","AST"
"1000149","1000151","AST"
"1000152","1000153","AST"
"1000152","1000154","AST"
"1000154","1000155","AST"
"1000154","1000156","AST"
"1000154","1000157","AST"
"1000158","1000159","AST"
"1000158","1000162","AST"
"1000159","1000160","AST"
"1000159","1000161","AST"
"1000162","1000163","AST"
"1000164","1000165","AST"
"1000164","1000167","AST"
"1000164","1000168","AST"
"1000165","1000166","AST"
"1000168","1000169","AST"
"1000170","1000171","AST"
"1000170","1000174","AST"
"1000171","1000172","AST"
"1000171","1000173","AST"
"1000175","1000176","AST"
"1000175","1000181","AST"
"1000176","1000177","AST"
"1000176","1000180","AST"
"1000177","1000178","AST"
"1000177","1000179","AST"
"1000182","1000183","AST"
"1000182","1000186","AST"
"1000183","1000184","AST"
"1000183","1000185","AST"
"1000186","1000187","AST"
"1000188","1000189","AST"
"1000188","1000199","AST"
"1000189","1000190","AST"
"1000189","1000191","AST"
"1000191","1000192","AST"
"1000191","1000193","AST"
"1000191","1000197","AST"
"1000193","1000194","AST"
"1000193","1000195","AST"
"1000195","1000196","AST"
"1000197","1000198","AST"
"1000199","1000200","AST"
"1000201","1000202","AST"
"1000201","1000207","AST"
"1000202","1000203","AST"
"1000202","1000204","AST"
"1000204","1000205","AST"
"1000204","1000206","AST"
"1000207","1000208","AST"
"1000209","1000210","AST"
"1000209","1000211","AST"
"1000211","1000212","AST"
"1000211","1000213","AST"
"1000211","1000214","AST"
"1000215","1000216","AST"
"1000215","1000219","AST"
"1000216","1000217","AST"
"1000216","1000218","AST"
"1000219","1000220","AST"
"1000221","1000222","AST"
"1000221","1000223","AST"
"1000223","1000224","AST"
"1000223","1000225","AST"
"1000223","1000226","AST"
"1000223","1000229","AST"
"1000226","1000227","AST"
"1000226","1000228","AST"
"1000230","1000231","AST"
"1000230","1000238","AST"
"1000231","1000232","AST"
"1000231","1000235","AST"
"1000232","1000233","AST"
"1000232","1000234","AST"
"1000235","1000236","AST"
"1000235","1000237","AST"
"1000238","1000239","AST"
"1000240","1000241","AST"
"1000240","1000244","AST"
"1000241","1000242","AST"
"1000241","1000243","AST"
"1000246","1000247","AST"
"1000246","1000250","AST"
"1000247","1000248","AST"
"1000247","1000249","AST"
"1000250","1000251","AST"
"1000251","1000252","AST"
"1000253","1000254","AST"
"1000253","1000257","AST"
"1000254","1000255","AST"
"1000254","1000256","AST"
"1000257","1000258","AST"
"1000258","1000259","AST"
"1000260","1000261","AST"
"1000260","1000262","AST"
"1000262","1000263","AST"
"1000264","1000265","AST"
"1000264","1000268","AST"
"1000265","1000266","AST"
