"key","type","code"
"1000110","METHOD","CWE15_External_Control_of_System_or_Configuration_Setting__w32_01_bad"
"1000111","BLOCK",""
"1000112","LOCAL","data: char *"
"1000113","LOCAL","dataBuffer: char [ 100 ]"
"1000114","<operator>.assignment","dataBuffer[100] = \""\"""
"1000115","IDENTIFIER","dataBuffer"
"1000116","LITERAL","\""\"""
"1000117","<operator>.assignment","data = dataBuffer"
"1000118","IDENTIFIER","data"
"1000119","IDENTIFIER","dataBuffer"
"1000120","BLOCK",""
"1000121","LOCAL","wsaData: WSADATA"
"1000122","LOCAL","wsaDataInit: BOOL"
"1000123","<operator>.assignment","wsaDataInit = FALSE"
"1000124","IDENTIFIER","wsaDataInit"
"1000125","IDENTIFIER","FALSE"
"1000126","LOCAL","listenSocket: SOCKET"
"1000127","<operator>.assignment","listenSocket = INVALID_SOCKET"
"1000128","IDENTIFIER","listenSocket"
"1000129","IDENTIFIER","INVALID_SOCKET"
"1000130","LOCAL","acceptSocket: SOCKET"
"1000131","<operator>.assignment","acceptSocket = INVALID_SOCKET"
"1000132","IDENTIFIER","acceptSocket"
"1000133","IDENTIFIER","INVALID_SOCKET"
"1000134","LOCAL","service: struct sockaddr_in"
"1000135","LOCAL","recvResult: int"
"1000136","CONTROL_STRUCTURE","do"
"1000137","BLOCK",""
"1000138","CONTROL_STRUCTURE","if (WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR)"
"1000139","<operator>.notEquals","WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR"
"1000140","WSAStartup","WSAStartup(MAKEWORD(2,2), &wsaData)"
"1000141","MAKEWORD","MAKEWORD(2,2)"
"1000142","LITERAL","2"
"1000143","LITERAL","2"
"1000144","<operator>.addressOf","&wsaData"
"1000145","IDENTIFIER","wsaData"
"1000146","IDENTIFIER","NO_ERROR"
"1000147","BLOCK",""
"1000148","CONTROL_STRUCTURE","break;"
"1000149","<operator>.assignment","wsaDataInit = 1"
"1000150","IDENTIFIER","wsaDataInit"
"1000151","LITERAL","1"
"1000152","<operator>.assignment","listenSocket = socket(PF_INET, SOCK_STREAM, 0)"
"1000153","IDENTIFIER","listenSocket"
"1000154","socket","socket(PF_INET, SOCK_STREAM, 0)"
"1000155","IDENTIFIER","PF_INET"
"1000156","IDENTIFIER","SOCK_STREAM"
"1000157","LITERAL","0"
"1000158","CONTROL_STRUCTURE","if (listenSocket == INVALID_SOCKET)"
"1000159","<operator>.equals","listenSocket == INVALID_SOCKET"
"1000160","IDENTIFIER","listenSocket"
"1000161","IDENTIFIER","INVALID_SOCKET"
"1000162","BLOCK",""
"1000163","CONTROL_STRUCTURE","break;"
"1000164","memset","memset(&service, 0, sizeof(service))"
"1000165","<operator>.addressOf","&service"
"1000166","IDENTIFIER","service"
"1000167","LITERAL","0"
"1000168","<operator>.sizeOf","sizeof(service)"
"1000169","IDENTIFIER","service"
"1000170","<operator>.assignment","service.sin_family = AF_INET"
"1000171","<operator>.fieldAccess","service.sin_family"
"1000172","IDENTIFIER","service"
"1000173","FIELD_IDENTIFIER","sin_family"
"1000174","IDENTIFIER","AF_INET"
"1000175","<operator>.assignment","service.sin_addr.s_addr = INADDR_ANY"
"1000176","<operator>.fieldAccess","service.sin_addr.s_addr"
"1000177","<operator>.fieldAccess","service.sin_addr"
"1000178","IDENTIFIER","service"
"1000179","FIELD_IDENTIFIER","sin_addr"
"1000180","FIELD_IDENTIFIER","s_addr"
"1000181","IDENTIFIER","INADDR_ANY"
"1000182","<operator>.assignment","service.sin_port = htons(LISTEN_PORT)"
"1000183","<operator>.fieldAccess","service.sin_port"
"1000184","IDENTIFIER","service"
"1000185","FIELD_IDENTIFIER","sin_port"
"1000186","htons","htons(LISTEN_PORT)"
"1000187","IDENTIFIER","LISTEN_PORT"
"1000188","CONTROL_STRUCTURE","if (SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service)))"
"1000189","<operator>.equals","SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"1000190","IDENTIFIER","SOCKET_ERROR"
"1000191","bind","bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"1000192","IDENTIFIER","listenSocket"
"1000193","<operator>.cast","(struct sockaddr*)&service"
"1000194","UNKNOWN","struct sockaddr*"
"1000195","<operator>.addressOf","&service"
"1000196","IDENTIFIER","service"
"1000197","<operator>.sizeOf","sizeof(service)"
"1000198","IDENTIFIER","service"
"1000199","BLOCK",""
"1000200","CONTROL_STRUCTURE","break;"
"1000201","CONTROL_STRUCTURE","if (SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG))"
"1000202","<operator>.equals","SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG)"
"1000203","IDENTIFIER","SOCKET_ERROR"
"1000204","listen","listen(listenSocket, LISTEN_BACKLOG)"
"1000205","IDENTIFIER","listenSocket"
"1000206","IDENTIFIER","LISTEN_BACKLOG"
"1000207","BLOCK",""
"1000208","CONTROL_STRUCTURE","break;"
"1000209","<operator>.assignment","acceptSocket = accept(listenSocket, NULL, NULL)"
"1000210","IDENTIFIER","acceptSocket"
"1000211","accept","accept(listenSocket, NULL, NULL)"
"1000212","IDENTIFIER","listenSocket"
"1000213","IDENTIFIER","NULL"
"1000214","IDENTIFIER","NULL"
"1000215","CONTROL_STRUCTURE","if (acceptSocket == INVALID_SOCKET)"
"1000216","<operator>.equals","acceptSocket == INVALID_SOCKET"
"1000217","IDENTIFIER","acceptSocket"
"1000218","IDENTIFIER","INVALID_SOCKET"
"1000219","BLOCK",""
"1000220","CONTROL_STRUCTURE","break;"
"1000221","<operator>.assignment","recvResult = recv(acceptSocket, data, 100 - 1, 0)"
"1000222","IDENTIFIER","recvResult"
"1000223","recv","recv(acceptSocket, data, 100 - 1, 0)"
"1000224","IDENTIFIER","acceptSocket"
"1000225","IDENTIFIER","data"
"1000226","<operator>.subtraction","100 - 1"
"1000227","LITERAL","100"
"1000228","LITERAL","1"
"1000229","LITERAL","0"
"1000230","CONTROL_STRUCTURE","if (recvResult == SOCKET_ERROR || recvResult == 0)"
"1000231","<operator>.logicalOr","recvResult == SOCKET_ERROR || recvResult == 0"
"1000232","<operator>.equals","recvResult == SOCKET_ERROR"
"1000233","IDENTIFIER","recvResult"
"1000234","IDENTIFIER","SOCKET_ERROR"
"1000235","<operator>.equals","recvResult == 0"
"1000236","IDENTIFIER","recvResult"
"1000237","LITERAL","0"
"1000238","BLOCK",""
"1000239","CONTROL_STRUCTURE","break;"
"1000240","<operator>.assignment","data[recvResult] = '\0'"
"1000241","<operator>.indirectIndexAccess","data[recvResult]"
"1000242","IDENTIFIER","data"
"1000243","IDENTIFIER","recvResult"
"1000244","LITERAL","'\0'"
"1000245","LITERAL","0"
"1000246","CONTROL_STRUCTURE","if (acceptSocket != INVALID_SOCKET)"
"1000247","<operator>.notEquals","acceptSocket != INVALID_SOCKET"
"1000248","IDENTIFIER","acceptSocket"
"1000249","IDENTIFIER","INVALID_SOCKET"
"1000250","BLOCK",""
"1000251","closesocket","closesocket(acceptSocket)"
"1000252","IDENTIFIER","acceptSocket"
"1000253","CONTROL_STRUCTURE","if (listenSocket != INVALID_SOCKET)"
"1000254","<operator>.notEquals","listenSocket != INVALID_SOCKET"
"1000255","IDENTIFIER","listenSocket"
"1000256","IDENTIFIER","INVALID_SOCKET"
"1000257","BLOCK",""
"1000258","closesocket","closesocket(listenSocket)"
"1000259","IDENTIFIER","listenSocket"
"1000260","CONTROL_STRUCTURE","if (wsaDataInit)"
"1000261","IDENTIFIER","wsaDataInit"
"1000262","BLOCK",""
"1000263","WSACleanup","WSACleanup()"
"1000264","CONTROL_STRUCTURE","if (!SetComputerNameA(data))"
"1000265","<operator>.logicalNot","!SetComputerNameA(data)"
